,demand
1011,2.84852
1012,2.55902
1013,2.64654
1014,2.77002
1015,3.034520008
1016,2.769
1017,2.66202
1018,2.37102
1019,2.31502
1020,2.02452
1021,1.83104
1022,1.741
1023,1.74102
1024,1.66702
1025,1.6535
1026,1.61646
1027,1.65
1028,1.52702
1029,1.606
1030,1.57402
1031,1.5720399999999999
1032,1.41448
1033,1.348
1034,1.34452
1035,1.36452
1036,1.392
1037,1.38902
1038,1.43752
1039,1.43702
1040,1.45452
1041,1.41502
1042,1.44652
1043,1.42302
1044,1.3805
1045,1.42646
1046,1.4330399999999999
1047,1.3550799999999998
1048,1.3955199999999999
1049,1.4045
1050,1.38404
1051,1.3825399999999999
1052,1.34796
1053,1.32254
1054,1.31202
1055,1.33
1056,1.3525399999999999
1057,1.337
1058,1.33304
1059,1.32504
1060,1.35252
1061,1.29952
1062,1.30754
1063,1.30754
1064,1.29056
1065,1.31952
1066,1.29152
1067,1.30702
1068,1.3005
1069,1.27154
1070,1.28352
1071,1.25704
1072,1.2840799999999999
1073,1.30102
1074,1.28
1075,1.31056
1076,1.317
1077,1.31652
1078,1.26458
1079,1.26802
1080,1.32452
1081,1.3265
1082,1.3040399999999999
1083,1.30502
1084,1.32246
1085,1.31452
1086,1.36902
1087,1.34704
1088,1.37202
1089,1.38356
1090,1.36402
1091,1.36302
1092,1.388
1093,1.32652
1094,1.321
1095,1.31454
1096,1.36052
1097,1.3330199999999999
1098,1.35404
1099,1.32608
1100,1.3505
1101,1.3160399999999999
1102,1.33304
1103,1.27302
1104,1.22506
1105,1.2395
1106,1.227
1107,1.196
1108,1.2085599999999999
1109,1.19002
1110,1.24304
1111,1.22758
1112,1.24452
1113,1.23302
1114,1.26204
1115,1.24202
1116,1.24002
1117,1.19658
1118,1.18154
1119,1.2
1120,1.171479996
1121,1.19802
1122,1.19102
1123,1.21552
1124,1.22498
1125,1.37152
1126,1.381519996
1127,1.388
1128,1.8825
1129,1.8875
1130,1.95552
1131,1.98198
1132,1.89154
1133,1.9515
1134,1.9620199999999999
1135,2.06802
1136,2.11452
1137,2.00852
1138,1.9049800000000001
1139,1.88652
1140,1.87848
1141,1.9065
1142,2.15404
1143,2.11452
1144,2.23802
1145,2.33848
1146,2.3565
1147,2.57354
1148,2.444
1149,2.41502
1150,2.33252
1151,2.35298
1152,2.47852
1153,2.33952
1154,2.01448
1155,1.9095799999999998
1156,2.007
1157,2.00302
1158,2.04452
1159,2.05254
1160,2.01998
1161,1.91702
1162,1.84252
1163,1.86752
1164,1.9390399999999999
1165,1.88802
1166,1.92404
1167,1.8545399999999999
1168,1.848
1169,1.66452
1170,1.52404
1171,1.5425799999999998
1172,1.5635
1173,1.5875
1174,1.586
1175,1.66902
1176,1.8295
1177,1.998
1178,2.11498
1179,2.1735
1180,2.31148
1181,2.5935
1182,3.10096
1183,3.04954
1184,3.30098
1185,3.48154
1186,3.8099600000000002
1187,4.09746
1188,3.98602
1189,3.98748
1190,4.11704
1191,3.669479992
1192,3.57104
1193,3.71552
1194,3.83948
1195,4.037
1196,4.084
1197,4.20554
1198,4.122000008
1199,3.8605
1200,3.713
1201,3.95362
1202,4.0215
1203,3.7445
1204,3.622040008
1205,3.602040008
1206,3.58602
1207,3.89762
1208,3.78148
1209,4.01802
1210,4.03244
1211,3.881
1212,3.77502
1213,3.204
1214,2.80002
1215,2.82244
1216,2.815
1217,2.8488800000000003
1218,2.79814
1219,2.6225
1220,2.70002
1221,3.06098
1222,2.9275
1223,2.851540004
1224,2.470480004
1225,2.586540004
1226,2.793480004
1227,3.04954
1228,3.114020004
1229,3.056520004
1230,3.098000004
1231,2.86398
1232,2.699460004
1233,2.75902
1234,2.960000004
1235,2.7845
1236,2.618520004
1237,2.64004
1238,2.660040004
1239,2.88898
1240,2.811000004
1241,2.674520004
1242,2.696040004
1243,2.69202
1244,2.64354
1245,2.69202
1246,2.694020004
1247,2.716040004
1248,2.363020004
1249,2.462580004
1250,2.702040004
1251,2.334000004
1252,2.240000004
1253,2.170040004
1254,2.03904
1255,2.024040004
1256,1.925520004
1257,1.93706
1258,1.941520004
1259,1.9120599999999999
1260,1.93654
1261,1.924080004
1262,1.90102
1263,1.7830599999999999
1264,1.608520004
1265,1.66908
1266,1.6760400039999999
1267,1.6565200039999999
1268,1.95404
1269,1.978520004
1270,1.91402
1271,2.02202
1272,2.06554
1273,2.358500004
1274,2.572
1275,2.55502
1276,2.76498
1277,3.01352
1278,3.17252
1279,3.34916
1280,3.2095
1281,3.21802
1282,3.572040008
1283,3.5365
1284,3.3715
1285,3.51798
1286,3.69554
1287,3.389
1288,3.10854
1289,3.1045
1290,3.25902
1291,3.53302
1292,3.80652
1293,4.06298
1294,4.194520000000001
1295,3.81552
1296,3.90552
1297,3.7375
1298,4.1695
1299,3.7675
1300,3.64696
1301,3.468
1302,3.55498
1303,3.55806
1304,3.558
1305,3.61548
1306,3.73954
1307,3.56096
1308,3.3476999999999997
1309,3.1055
1310,2.91716
1311,2.96046
1312,2.54702
1313,2.40352
1314,2.5905
1315,2.44502
1316,2.3684600000000002
1317,2.3855
1318,2.43254
1319,2.38048
1320,2.39404
1321,2.42952
1322,2.82002
