,demand
786,0.29052
787,0.29752
788,0.336
789,0.36052
790,0.30451999999999996
791,0.322
792,0.427
793,0.595
794,0.5915199999999999
795,0.714
796,0.742
797,0.707
798,0.78052
799,0.86452
800,0.959
801,0.875
802,0.89952
803,1.01152
804,0.994
805,0.9695199999999999
806,0.98352
807,0.889
808,0.77
809,0.826
810,0.847
811,1.0325199999999999
812,0.994
813,0.87152
814,0.94852
815,0.80852
816,0.721
817,0.68952
818,0.7175199999999999
819,0.74552
820,0.854
821,0.80152
822,0.707
823,0.66152
824,0.62652
825,0.686
826,0.602
827,0.50052
828,0.546
829,0.532
830,0.49
831,0.476
832,0.434
833,0.47952
834,0.54252
835,0.55652
836,0.518
837,0.49351999999999996
838,0.50052
839,0.455
840,0.413
841,0.448
842,0.532
843,0.5985199999999999
844,0.64752
845,0.609
846,0.595
847,0.61952
848,0.57052
849,0.63
850,0.581
851,0.53552
852,0.45152
853,0.46552
854,0.53552
855,0.518
856,0.56352
857,0.64052
858,0.5985199999999999
859,0.609
860,0.66852
861,0.57052
862,0.50752
863,0.49351999999999996
864,0.49351999999999996
865,0.52852
866,0.49351999999999996
867,0.455
868,0.41652
869,0.37451999999999996
870,0.357
871,0.336
872,0.266
873,0.25552
874,0.252
875,0.28
876,0.33252
877,0.336
878,0.322
879,0.33252
880,0.32552
881,0.315
882,0.287
883,0.30451999999999996
884,0.34652
885,0.364
886,0.35
887,0.35352
888,0.427
889,0.567
890,0.56
891,0.679
892,0.68252
893,0.826
894,0.98
895,0.987
896,1.08152
897,1.043
898,1.085
899,1.13052
900,1.05
901,1.029
902,1.015
903,1.0325199999999999
904,0.82952
905,0.924
906,0.98
907,0.89952
908,1.04652
909,0.94152
910,0.89952
911,0.875
912,0.80152
913,0.812
914,0.854
915,0.784
916,0.749
917,0.91352
918,0.84
919,0.728
920,0.63
921,0.66852
922,0.65452
923,0.686
924,0.69652
925,0.679
926,0.686
927,0.64052
928,0.581
929,0.574
930,0.56
931,0.57052
932,0.55652
933,0.553
934,0.497
935,0.49
936,0.476
937,0.497
938,0.50052
939,0.51452
940,0.511
941,0.52852
942,0.52852
943,0.48652
944,0.441
945,0.42352
946,0.476
947,0.50752
948,0.45852
949,0.47952
950,0.50052
951,0.50752
952,0.518
953,0.525
954,0.55652
955,0.49351999999999996
956,0.511
957,0.504
958,0.49351999999999996
959,0.413
960,0.39552
961,0.392
962,0.406
963,0.43051999999999996
964,0.42
965,0.39552
966,0.385
967,0.364
968,0.329
969,0.322
970,0.315
971,0.34652
972,0.357
973,0.35
974,0.364
975,0.371
976,0.33952
977,0.36751999999999996
978,0.364
979,0.371
980,0.49351999999999996
981,0.462
982,0.51452
983,0.504
984,0.5845199999999999
985,0.69652
986,0.75952
987,0.73852
988,0.82952
989,0.92752
990,1.036
991,1.029
992,0.966
993,0.99752
994,1.08152
995,1.17252
996,1.1515199999999999
997,1.1515199999999999
998,1.113
999,1.05
1000,0.91352
1001,0.9695199999999999
1002,0.9765199999999999
1003,1.05352
1004,0.959
1005,0.868
1006,0.9625199999999999
1007,0.896
1008,0.85752
1009,0.77
1010,0.9625199999999999
1011,1.099
1012,1.1515199999999999
1013,1.071
1014,1.022
1015,0.861
1016,0.67552
1017,0.64752
1018,0.581
1019,0.546
1020,0.511
