,pv
842,0.06330177400071088
843,0.06330177400071088
844,0.0058325524283452355
845,0.0058325524283452355
846,0.0058325524283452355
847,0.0058325524283452355
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.00478236985814457
881,0.00478236985814457
882,0.00478236985814457
883,0.00478236985814457
884,0.035140724464406886
885,0.035140724464406886
886,0.035140724464406886
887,0.035140724464406886
888,0.19932465182408635
889,0.19932465182408635
890,0.19932465182408635
891,0.19932465182408635
892,0.4481048243771609
893,0.4481048243771609
894,0.4481048243771609
895,0.4481048243771609
896,0.66384463760623
897,0.66384463760623
898,0.66384463760623
899,0.66384463760623
900,0.8236662681358452
901,0.8236662681358452
902,0.8236662681358452
903,0.8236662681358452
904,0.9235951788541701
905,0.9235951788541701
906,0.9235951788541701
907,0.9235951788541701
908,0.8079458428926874
909,0.8079458428926874
910,0.8079458428926874
911,0.8079458428926874
912,0.7754548098361715
913,0.7754548098361715
914,0.7754548098361715
915,0.7754548098361715
916,0.7297637897049795
917,0.7297637897049795
918,0.7297637897049795
919,0.7297637897049795
920,0.7163860794261157
921,0.7163860794261157
922,0.7163860794261157
923,0.7163860794261157
924,0.5723495007593628
925,0.5723495007593628
926,0.5723495007593628
927,0.5723495007593628
928,0.34646330823666266
929,0.34646330823666266
930,0.34646330823666266
931,0.34646330823666266
932,0.15676802274857013
933,0.15676802274857013
934,0.15676802274857013
935,0.15676802274857013
936,0.056225159143051026
937,0.056225159143051026
938,0.056225159143051026
939,0.056225159143051026
940,0.007028144892881378
941,0.007028144892881378
942,0.007028144892881378
943,0.007028144892881378
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.007981387533525059
977,0.007981387533525059
978,0.007981387533525059
979,0.007981387533525059
980,0.034025915274501564
981,0.034025915274501564
982,0.034025915274501564
983,0.034025915274501564
984,0.19609332083885356
985,0.19609332083885356
986,0.19609332083885356
987,0.19609332083885356
988,0.44248230846285586
989,0.44248230846285586
990,0.44248230846285586
991,0.44248230846285586
992,0.5881991792419298
993,0.5881991792419298
994,0.5881991792419298
995,0.5881991792419298
996,0.7808996025462888
997,0.7808996025462888
998,0.7808996025462888
999,0.7808996025462888
1000,0.8841729408343297
1001,0.8841729408343297
1002,0.8841729408343297
1003,0.8841729408343297
1004,0.9166962872006978
1005,0.9166962872006978
1006,0.9166962872006978
1007,0.9166962872006978
1008,0.9581381070863089
1009,0.9581381070863089
1010,0.9581381070863089
1011,0.9581381070863089
1012,0.7733867580056225
1013,0.7733867580056225
1014,0.7733867580056225
1015,0.7733867580056225
1016,0.6817462112644198
1017,0.6817462112644198
1018,0.6817462112644198
1019,0.6817462112644198
1020,0.5638834135780527
1021,0.5638834135780527
1022,0.5638834135780527
1023,0.5638834135780527
1024,0.31988561088312273
1025,0.31988561088312273
1026,0.31988561088312273
1027,0.31988561088312273
1028,0.11072155620900247
1029,0.11072155620900247
1030,0.11072155620900247
1031,0.11072155620900247
1032,0.047403625553365435
1033,0.047403625553365435
1034,0.047403625553365435
1035,0.047403625553365435
1036,0.011616634891911979
1037,0.011616634891911979
1038,0.011616634891911979
1039,0.011616634891911979
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.02300707661485766
1077,0.02300707661485766
1078,0.02300707661485766
1079,0.02300707661485766
1080,0.19837140918344268
1081,0.19837140918344268
1082,0.19837140918344268
1083,0.19837140918344268
1084,0.40987817882185673
1085,0.40987817882185673
1086,0.40987817882185673
1087,0.40987817882185673
1088,0.20242672956990984
1089,0.20242672956990984
1090,0.20242672956990984
1091,0.20242672956990984
1092,0.46810676317575206
1093,0.46810676317575206
1094,0.46810676317575206
1095,0.46810676317575206
1096,0.7070798461886452
1097,0.7070798461886452
1098,0.7070798461886452
1099,0.7070798461886452
1100,0.18037289559569591
1101,0.18037289559569591
1102,0.18037289559569591
1103,0.18037289559569591
1104,0.8489191197854398
1105,0.8489191197854398
1106,0.8489191197854398
1107,0.8489191197854398
1108,0.18769186027724818
1109,0.18769186027724818
1110,0.18769186027724818
1111,0.18769186027724818
1112,0.22692021843797464
1113,0.22692021843797464
1114,0.22692021843797464
1115,0.22692021843797464
1116,0.17987203929298476
1117,0.17987203929298476
1118,0.17987203929298476
1119,0.17987203929298476
1120,0.29686237761333895
1121,0.29686237761333895
1122,0.29686237761333895
1123,0.29686237761333895
1124,0.14503829127217502
1125,0.14503829127217502
1126,0.14503829127217502
1127,0.14503829127217502
1128,0.06443273984554239
1129,0.06443273984554239
1130,0.06443273984554239
1131,0.06443273984554239
1132,0.011955924645361422
1133,0.011955924645361422
1134,0.011955924645361422
1135,0.011955924645361422
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
